"日期","傳票號碼","會計項目","項目名稱","客供商代號","客供商簡稱","部門代號","部門名稱","摘要","借方金額","貸方金額"
2024/1/1 00:00:00,"0000000-1","110201","現金-台幣","","","","","上期結轉",NT$50000.00,
2024/1/1 00:00:00,"0000000-1","110202","現金-美元","","","","","上期結轉",NT$75424.00,
2024/1/1 00:00:00,"0000000-1","110203","現金-人民幣","","","","","上期結轉",NT$173249.00,
2024/1/1 00:00:00,"0000000-1","110204","現金-日幣","","","","","上期結轉",NT$20386.00,
2024/1/1 00:00:00,"0000000-1","110205","現金-英磅","","","","","上期結轉",NT$34834.00,
2024/1/1 00:00:00,"0000000-1","110206","現金-歐元","","","","","上期結轉",NT$47015.00,
2024/1/1 00:00:00,"0000000-1","110207","現金-澳幣","","","","","上期結轉",NT$28472.00,
2024/1/1 00:00:00,"0000000-1","110208","現金-泰銖","","","","","上期結轉",NT$49663.00,
2024/1/1 00:00:00,"0000000-1","110209","現金-馬幣","","","","","上期結轉",NT$8003.00,
2024/1/1 00:00:00,"0000000-1","110301","銀行存款-玉山8992
","","","","","上期結轉",NT$5137420.00,
2024/1/1 00:00:00,"0000000-1","110304","銀行存款-一銀3666
","","","","","上期結轉",NT$785214.00,
2024/1/1 00:00:00,"0000000-1","110305","銀行存款-一銀6188
","","","","","上期結轉",NT$3971528.00,
2024/1/1 00:00:00,"0000000-1","110307","銀行存款-一銀備償專戶
","","","","","上期結轉",NT$200000.00,
2024/1/1 00:00:00,"0000000-1","110309","銀行存款-一銀6185
","","","","","上期結轉",NT$903653.00,
2024/1/1 00:00:00,"0000000-1","110316","銀行存款-一銀6290
","","","","","上期結轉",NT$351915.00,
2024/1/1 00:00:00,"0000000-1","110317","銀行存款-一銀9600
","","","","","上期結轉",NT$208702.00,
2024/1/1 00:00:00,"0000000-1","110318","銀行存款-一銀0157
","","","","","上期結轉",NT$834.00,
2024/1/1 00:00:00,"0000000-1","1130","應收帳款","","","","","上期結轉",NT$42840.00,
2024/1/1 00:00:00,"0000000-1","1175","應收租賃款","","","","","上期結轉",NT$3380000.00,
2024/1/1 00:00:00,"0000000-1","1181","應收帳款-關係人
","","","","","上期結轉",NT$5258416.00,
2024/1/1 00:00:00,"0000000-1","1222","預付所得稅","","","","","上期結轉",NT$21121.00,
2024/1/1 00:00:00,"0000000-1","1301","商品存貨","","","","","上期結轉",NT$4353170.00,
2024/1/1 00:00:00,"0000000-1","1311","製成品","","","","","上期結轉",NT$4838828.00,
2024/1/1 00:00:00,"0000000-1","1315","原料","","","","","上期結轉",NT$34407694.00,
2024/1/1 00:00:00,"0000000-1","1316","物料","","","","","上期結轉",NT$1228734.00,
2024/1/1 00:00:00,"0000000-1","1419","其他預付費用","","","","","上期結轉",NT$19758000.00,
2024/1/1 00:00:00,"0000000-1","1421","預付貨款","","","","","上期結轉",NT$171846.00,
2024/1/1 00:00:00,"0000000-1","1423","進項稅額","","","","","上期結轉",NT$295529.00,
2024/1/1 00:00:00,"0000000-1","1424","留抵稅額","","","","","上期結轉",NT$8889385.00,
2024/1/1 00:00:00,"0000000-1","1471","暫付款","","","","","上期結轉",NT$171829.00,
2024/1/1 00:00:00,"0000000-1","1472","代付款","","","","","上期結轉",NT$13819.00,
2024/1/1 00:00:00,"0000000-1","1551","採用權益法之投資
","","","","","上期結轉",NT$11833489.00,
2024/1/1 00:00:00,"0000000-1","1616","機器設備成本","","","","","上期結轉",NT$14584756.00,
2024/1/1 00:00:00,"0000000-1","1636","模具設備成本","","","","","上期結轉",NT$8609115.00,
2024/1/1 00:00:00,"0000000-1","1661","試驗設備成本","","","","","上期結轉",NT$2405002.00,
2024/1/1 00:00:00,"0000000-1","1691","辦公設備成本","","","","","上期結轉",NT$5031955.00,
2024/1/1 00:00:00,"0000000-1","1731","租賃改良成本","","","","","上期結轉",NT$24978999.00,
2024/1/1 00:00:00,"0000000-1","175C","使用權資產-房屋及建築淨額
","","","","","上期結轉",NT$41668411.00,
2024/1/1 00:00:00,"0000000-1","175D","使用權資產-機器設備淨額
","","","","","上期結轉",NT$1551503.00,
2024/1/1 00:00:00,"0000000-1","1782","商標權","","","","","上期結轉",NT$700600.00,
2024/1/1 00:00:00,"0000000-1","1786","專利權","","","","","上期結轉",NT$11124749.00,
2024/1/1 00:00:00,"0000000-1","1802","電腦軟體","","","","","上期結轉",NT$4835927.00,
2024/1/1 00:00:00,"0000000-1","1841","遞延所得稅資產-非流動
","","","","","上期結轉",NT$137733859.00,
2024/1/1 00:00:00,"0000000-1","1915","預付設備款","","","","","上期結轉",NT$54180.00,
2024/1/1 00:00:00,"0000000-1","1920","存出保證金","","","","","上期結轉",NT$978800.00,
2024/1/1 00:00:00,"0000000-1","3351","累積盈虧","","","","","上期結轉",NT$367969367.00,
2024/1/1 00:00:00,"0000000-1","  1176","融資租賃之未賺得融資收益
","","","","","上期結轉",,NT$178417.00
2024/1/1 00:00:00,"0000000-1","  1339","備抵存貨跌價","","","","","上期結轉",,NT$35930473.00
2024/1/1 00:00:00,"0000000-1","  1618","累計折舊-機器設備
","","","","","上期結轉",,NT$10373367.00
2024/1/1 00:00:00,"0000000-1","  1638","累計折舊-模具設備
","","","","","上期結轉",,NT$5930992.00
2024/1/1 00:00:00,"0000000-1","  1663","累計折舊-試驗設備
","","","","","上期結轉",,NT$1422264.00
2024/1/1 00:00:00,"0000000-1","  1693","累計折舊-辦公設備
","","","","","上期結轉",,NT$3759804.00
2024/1/1 00:00:00,"0000000-1","  1733","累計折舊-租賃改良
","","","","","上期結轉",,NT$24075633.00
2024/1/1 00:00:00,"0000000-1","  1784","累計減損－商標權
","","","","","上期結轉",,NT$275564.00
2024/1/1 00:00:00,"0000000-1","  1788","累計減損－專利權
","","","","","上期結轉",,NT$3133567.00
2024/1/1 00:00:00,"0000000-1","  17CD","累計折舊-使用權資產-房屋及建築
","","","","","上期結轉",,NT$21541592.00
2024/1/1 00:00:00,"0000000-1","  17DD","累計折舊-使用權資產-機器設備
","","","","","上期結轉",,NT$982619.00
2024/1/1 00:00:00,"0000000-1","  1804","累計減損－電腦軟體成本
","","","","","上期結轉",,NT$3547847.00
2024/1/1 00:00:00,"0000000-1","  1842","備抵遞延所得稅資產-非流動
","","","","","上期結轉",,NT$137733859.00
2024/1/1 00:00:00,"0000000-1","  2102","銀行借款","","","","","上期結轉",,NT$30331404.00
2024/1/1 00:00:00,"0000000-1","  2171","應付帳款","","","","","上期結轉",,NT$35166.00
2024/1/1 00:00:00,"0000000-1","  2201","應付薪資","","","","","上期結轉",,NT$4003486.00
2024/1/1 00:00:00,"0000000-1","  2204","暫估應付費用","","","","","上期結轉",,NT$4336970.00
2024/1/1 00:00:00,"0000000-1","  2207","應付董監事酬勞","","","","","上期結轉",,NT$88101.00
2024/1/1 00:00:00,"0000000-1","  2209","其他應付費用","","","","","上期結轉",,NT$4259342.00
2024/1/1 00:00:00,"0000000-1","  2214","銷項稅額","","","","","上期結轉",,NT$293278.00
2024/1/1 00:00:00,"0000000-1","  2280","租賃負債－流動","","","","","上期結轉",,NT$5743543.00
2024/1/1 00:00:00,"0000000-1","  2311","預收貨款","","","","","上期結轉",,NT$150000.00
2024/1/1 00:00:00,"0000000-1","  2330","暫收款","","","","","上期結轉",,NT$211310.00
2024/1/1 00:00:00,"0000000-1","  233501","代收款項","","","","","上期結轉",,NT$33600.00
2024/1/1 00:00:00,"0000000-1","  233502","代收稅款","","","","","上期結轉",,NT$72090.00
2024/1/1 00:00:00,"0000000-1","  2580","租賃負債－非流動
","","","","","上期結轉",,NT$19539437.00
2024/1/1 00:00:00,"0000000-1","  2655","股東往來","","","","","上期結轉",,NT$16500000.00
2024/1/1 00:00:00,"0000000-1","  3110","股本","","","","","上期結轉",,NT$239654510.00
2024/1/1 00:00:00,"0000000-1","  3210","資本公積-發行溢價
","","","","","上期結轉",,NT$154800000.00
2024/1/1 00:00:00,"0000000-2","5100","進貨","","","","","期初存貨轉入",NT$4353170.00,
2024/1/1 00:00:00,"0000000-2","5160","製成品成本","","","","","製成品轉入",NT$4838828.00,
2024/1/1 00:00:00,"0000000-2","5711","原料進料","","","","","期初原料轉入",NT$34407694.00,
2024/1/1 00:00:00,"0000000-2","5714","物料進料","","","","","期初物料轉入",NT$1228734.00,
2024/1/1 00:00:00,"0000000-2","  1301","商品存貨","","","","","轉入本期進貨",,NT$4353170.00
2024/1/1 00:00:00,"0000000-2","  1311","製成品","","","","","轉入製成品",,NT$4838828.00
2024/1/1 00:00:00,"0000000-2","  1315","原料","","","","","轉入本期進料",,NT$34407694.00
2024/1/1 00:00:00,"0000000-2","  1316","物料","","","","","轉入本期進料",,NT$1228734.00
2024/1/2 00:00:00,"11301020001","2209","其他應付費用","Z9999","其他","A2","財會處","勞退金 112.10",NT$206099.00,
2024/1/2 00:00:00,"11301020001","2209","其他應付費用","Z9999","其他","A2","財會處","勞退自提 112.10",NT$56124.00,
2024/1/2 00:00:00,"11301020001","  110301","銀行存款-玉山8992
","Z9999","其他","A2","財會處","勞退金及勞退自提112.10",,NT$262223.00
2024/1/2 00:00:00,"11301020002","2209","其他應付費用","Z9999","其他","A2","財會處","勞保費 112.11",NT$254674.00,
2024/1/2 00:00:00,"11301020002","  110301","銀行存款-玉山8992
","Z9999","其他","A2","財會處","勞保費 112.11",,NT$254674.00
2024/1/2 00:00:00,"11301020003","1419","其他預付費用","Z9999","其他","P1","專案管理部","姿勻 StimOn Pro六種貼片打樣*30套(含刀模及版費)-訂金",NT$30000.00,
2024/1/2 00:00:00,"11301020003","  110316","銀行存款-一銀6290
","Z9999","其他","P1","專案管理部","姿勻 StimOn Pro六種貼片打樣*30套(含刀模及版費)-訂金",,NT$30000.00
2024/1/2 00:00:00,"11301020004","110304","銀行存款-一銀3666
","S0028","精源生醫","A2","財會處","精源生醫 U-Town 辦公室租賃97號9F-10租金",NT$68250.00,
2024/1/2 00:00:00,"11301020004","  1175","應收租賃款","S0028","精源生醫","A2","財會處","精源生醫 U-Town 辦公室租賃97號9F-10租金",,NT$65000.00
2024/1/2 00:00:00,"11301020004","  2214","銷項稅額","S0028","精源生醫","A2","財會處","113/03 銷項《XP01418502》",,NT$3250.00
2024/1/2 00:00:00,"11301020005","1471","暫付款","Z9999","其他","A2","財會處","第一銀行 無線刷卡機租金*2台 11212",NT$1000.00,
2024/1/2 00:00:00,"11301020005","  110316","銀行存款-一銀6290
","Z9999","其他","A2","財會處","第一銀行 無線刷卡機租金*2台 11212",,NT$1000.00
2024/1/2 00:00:00,"11301020006","628899","管-其他費用-其他
","Z9999","其他","A4","資訊部","Zero SSL加密認證年費 2024/01/01~2024/12/31US480*30.76
",NT$14765.00,
2024/1/2 00:00:00,"11301020006","  2209","其他應付費用","Z9999","其他","A4","資訊部","Zero SSL加密認證年費 2024/01/01~2024/12/31US480*30.76 ...1/15付款
",,NT$14765.00
2024/1/2 00:00:00,"11301020007","1423","進項稅額","Z0060","弘葦","A1","行政部","113/03 扣抵《XM31820175》",NT$95.00,
2024/1/2 00:00:00,"11301020007","5140004","製-文具用品","Z0060","弘葦","A1","行政部","弘葦 影印機計張收費 11301",NT$317.00,
2024/1/2 00:00:00,"11301020007","6112","推-文具用品","Z0060","弘葦","A1","行政部","弘葦 影印機計張收費 11301",NT$281.00,
2024/1/2 00:00:00,"11301020007","6212","管-文具用品","Z0060","弘葦","A1","行政部","弘葦 影印機計張收費 11301",NT$528.00,
2024/1/2 00:00:00,"11301020007","6312","研-文具用品","Z0060","弘葦","A1","行政部","弘葦 影印機計張收費 11301",NT$774.00,
2024/1/2 00:00:00,"11301020007","  2209","其他應付費用","Z0060","弘葦","A1","行政部","弘葦 影印機計張收費 11301 ...2/23付款",,NT$1995.00
2024/1/2 00:00:00,"11301020008","1423","進項稅額","Z0058","中租迪和","A1","行政部","113/03 扣抵《WZ19666498》",NT$143.00,
2024/1/2 00:00:00,"11301020008","5140002","製-租金支出","Z0058","中租迪和","A1","行政部","中租迪和 租機費11301",NT$504.00,
2024/1/2 00:00:00,"11301020008","6111","推-租金支出","Z0058","中租迪和","A1","行政部","中租迪和 租機費11301",NT$169.00,
2024/1/2 00:00:00,"11301020008","6211","管-租金支出","Z0058","中租迪和","A1","行政部","中租迪和 租機費11301",NT$784.00,
2024/1/2 00:00:00,"11301020008","6311","研-租金支出","Z0058","中租迪和","A1","行政部","中租迪和 租機費11301",NT$1400.00,
2024/1/2 00:00:00,"11301020008","  2209","其他應付費用","Z0058","中租迪和","A1","行政部","中租迪和 租機費11301 ...2/05付款",,NT$3000.00
2024/1/3 00:00:00,"11301030001","1423","進項稅額","Z0164","逸華","A1","行政部","113/03 扣抵《VY53655636》",NT$202.00,
2024/1/3 00:00:00,"11301030001","5140002","製-租金支出","Z0164","逸華","A1","行政部","逸華 影印費(含機台租金)11212",NT$712.00,
2024/1/3 00:00:00,"11301030001","6111","推-租金支出","Z0164","逸華","A1","行政部","逸華 影印費(含機台租金)11212",NT$237.00,
2024/1/3 00:00:00,"11301030001","6211","管-租金支出","Z0164","逸華","A1","行政部","逸華 影印費(含機台租金)11212",NT$1108.00,
2024/1/3 00:00:00,"11301030001","6311","研-租金支出","Z0164","逸華","A1","行政部","逸華 影印費(含機台租金)11212",NT$1978.00,
2024/1/3 00:00:00,"11301030001","  2209","其他應付費用","Z0164","逸華","A1","行政部","逸華 影印費(含機台租金)11212 ...2/05付款",,NT$4237.00
2024/1/3 00:00:00,"11301030002","6329","研-研發費","Z9999","其他","R3","電子研發部","PCBWay 電子零件購買 US85.81*30.76 #G1174619",NT$2640.00,
2024/1/3 00:00:00,"11301030002","  2209","其他應付費用","Z9999","其他","R3","電子研發部","PCBWay 電子零件購買 US85.81*30.76 #G1174619...2/15付款
",,NT$2640.00
2024/1/4 00:00:00,"11301040001","1181","應收帳款-關係人
","S0028","精源生醫","S001","業務部","精源生醫 A2439CTS300-00 StimOn pain relief systemTW*100個
",NT$280000.00,
2024/1/4 00:00:00,"11301040001","  2214","銷項稅額","S0028","精源生醫","S001","業務部","113/03 銷項《VY55720950》",,NT$13333.00
2024/1/4 00:00:00,"11301040001","  4100","銷貨收入","S0028","精源生醫","S001","業務部","精源生醫 A2439CTS300-00 StimOn pain relief systemTW*100個
",,NT$266667.00
2024/1/4 00:00:00,"11301040002","1419","其他預付費用","Z0008","德米科技","R1","智財管理部","德米科技  ELECTRICAL STIMULATIONSTIMULATOR-美國設計專利第二次核駁答辯-服務費O415H-20002US
",NT$5000.00,
2024/1/4 00:00:00,"11301040002","1419","其他預付費用","Z0008","德米科技","R1","智財管理部","德米科技  ELECTRICAL STIMULATIONSTIMULATOR-美國設計專利第二次核駁答辯-國外代理人費用 O415H-20002US
",NT$15200.00,
2024/1/4 00:00:00,"11301040002","1423","進項稅額","Z0008","德米科技","R1","智財管理部","113/03 扣抵《VY26549850》",NT$1010.00,
2024/1/4 00:00:00,"11301040002","  2209","其他應付費用","Z0008","德米科技","R1","智財管理部","德米科技  ELECTRICAL STIMULATIONSTIMULATOR-美國設計專利第二次核駁答辯-服務費等...3/25付款
",,NT$21210.00
2024/1/5 00:00:00,"11301050001","2201","應付薪資","Z9999","其他","A2","財會處","薪資-112.12",NT$4003486.00,
2024/1/5 00:00:00,"11301050001","6215","管-郵 電 費","Z9999","其他","A2","財會處","匯費",NT$30.00,
2024/1/5 00:00:00,"11301050001","  110301","銀行存款-玉山8992
","Z9999","其他","A2","財會處","薪資-112.12",,NT$4003516.00
2024/1/5 00:00:00,"11301050002","2207","應付董監事酬勞","Z9999","其他","A2","財會處","獨立董事酬勞 112.12",NT$88101.00,
2024/1/5 00:00:00,"11301050002","6215","管-郵 電 費","Z9999","其他","A2","財會處","匯費",NT$90.00,
2024/1/5 00:00:00,"11301050002","  110301","銀行存款-玉山8992
","Z9999","其他","A2","財會處","獨立董事酬勞 112.12",,NT$88191.00
2024/1/5 00:00:00,"11301050003","233501","代收款項","Z9999","其他","A2","財會處","代匯 員工公益捐款 112.12",NT$11000.00,
2024/1/5 00:00:00,"11301050003","6215","管-郵 電 費","Z9999","其他","A2","財會處","匯費",NT$10.00,
2024/1/5 00:00:00,"11301050003","  110316","銀行存款-一銀6290
","Z9999","其他","A2","財會處","代匯 員工公益捐款 112.12",,NT$11010.00
2024/1/5 00:00:00,"11301050004","233501","代收款項","Z9999","其他","A2","財會處","代匯 員工公益捐款 112.12",NT$15000.00,
2024/1/5 00:00:00,"11301050004","  110316","銀行存款-一銀6290
","Z9999","其他","A2","財會處","代匯 員工公益捐款 112.12",,NT$15000.00
2024/1/5 00:00:00,"11301050005","233501","代收款項","Z9999","其他","A2","財會處","代扣補充保費112.12",NT$5701.00,
2024/1/5 00:00:00,"11301050005","233502","代收稅款","Z9999","其他","A2","財會處","代扣薪所稅112.12",NT$72090.00,
2024/1/5 00:00:00,"11301050005","  110301","銀行存款-玉山8992
","Z9999","其他","A2","財會處","代扣薪所稅112.12、代扣補充保費112.12",,NT$77791.00
2024/1/5 00:00:00,"11301050006","233501","代收款項","Z9999","其他","A2","財會處","代扣獨立董事補充保費 112.12",NT$1899.00,
2024/1/5 00:00:00,"11301050006","  110301","銀行存款-玉山8992
","Z9999","其他","A2","財會處","代扣獨立董事補充保費 112.12",,NT$1899.00
2024/1/5 00:00:00,"11301050007","6219","管-保 險 費","Z9999","其他","A2","財會處","健保補充保費(雇主) 112.11",NT$462.00,
