"會計項目","項目名稱","借貸標誌","期初金額","借方金額","貸方金額","期末金額"
"110201","現金-台幣","借",NT$50000.00,NT$418509.00,NT$418509.00,NT$50000.00
"110202","現金-美元","借",NT$75424.00,NT$107228.00,NT$108719.00,NT$73933.00
"110203","現金-人民幣","借",NT$173249.00,NT$37460.00,NT$119769.00,NT$90940.00
"110204","現金-日幣","借",NT$20386.00,NT$1916.00,NT$2595.00,NT$19707.00
"110205","現金-英磅","借",NT$34834.00,NT$2881.00,NT$1118.00,NT$36597.00
"110206","現金-歐元","借",NT$47015.00,NT$34908.00,NT$43816.00,NT$38107.00
"110207","現金-澳幣","借",NT$28472.00,NT$1495.00,NT$2303.00,NT$27664.00
"110208","現金-泰銖","借",NT$49663.00,NT$5552.00,NT$2334.00,NT$52881.00
"110209","現金-馬幣","借",NT$8003.00,NT$1129.00,NT$396.00,NT$8736.00
"110301","銀行存款-玉山8992","借",NT$5137420.00,NT$42700513.00,NT$47837933.00,NT$0.00
"110304","銀行存款-一銀3666","借",NT$785214.00,NT$24090090.00,NT$24864517.00,NT$10787.00
"110305","銀行存款-一銀6188","借",NT$3971528.00,NT$35082837.00,NT$36621947.00,NT$2432418.00
"110307","銀行存款-一銀備償專戶","借",NT$200000.00,NT$1349.00,NT$1349.00,NT$200000.00
"110309","銀行存款-一銀6185","借",NT$903653.00,NT$76798.00,NT$979444.00,NT$1007.00
"110310","銀行存款-一銀6096","借",NT$0.00,NT$7.00,NT$0.00,NT$7.00
"110316","銀行存款-一銀6290","借",NT$351915.00,NT$184358704.00,NT$113008943.00,NT$71701676.00
"110317","銀行存款-一銀9600","借",NT$208702.00,NT$7662.00,NT$216364.00,NT$0.00
"110318","銀行存款-一銀0157","借",NT$834.00,NT$0.00,NT$0.00,NT$834.00
"1130","應收帳款","借",NT$42840.00,NT$26890597.00,NT$16464303.00,NT$10469134.00
"1151","應收票據","借",NT$0.00,NT$60000.00,NT$60000.00,NT$0.00
"1175","應收租賃款","借",NT$3380000.00,NT$4655000.00,NT$4235000.00,NT$3800000.00
"1176","融資租賃之未賺得融資收益","貸",NT$178417.00,NT$245119.00,NT$223140.00,NT$156438.00
"1181","應收帳款-關係人","借",NT$5258416.00,NT$20018684.00,NT$24782235.00,NT$494865.00
"1201","應收退稅款","借",NT$0.00,NT$463130.00,NT$463130.00,NT$0.00
"1206","其他應收款-其他","借",NT$0.00,NT$67148351.00,NT$129312.00,NT$67019039.00
"1222","預付所得稅","借",NT$21121.00,NT$0.00,NT$2773.00,NT$18348.00
"1301","商品存貨","借",NT$4353170.00,NT$50942711.00,NT$51132271.00,NT$4163610.00
"1311","製成品","借",NT$4838828.00,NT$57416910.00,NT$51281765.00,NT$10973973.00
"1314","在製品","借",NT$0.00,NT$9328457.00,NT$9328457.00,NT$0.00
"1315","原料","借",NT$34407694.00,NT$398176574.00,NT$405461475.00,NT$27122793.00
"1316","物料","借",NT$1228734.00,NT$14572004.00,NT$15246194.00,NT$554544.00
"1339","備抵存貨跌價","貸",NT$35930473.00,NT$5844376.00,NT$0.00,NT$30086097.00
"1419","其他預付費用","借",NT$19758000.00,NT$7218827.00,NT$21636243.00,NT$5340584.00
"1421","預付貨款","借",NT$171846.00,NT$1747273.00,NT$1888382.00,NT$30737.00
"1423","進項稅額","借",NT$295529.00,NT$1323131.00,NT$1248255.00,NT$370405.00
"1424","留抵稅額","借",NT$8889385.00,NT$59185004.00,NT$60003510.00,NT$8070879.00
"1471","暫付款","借",NT$171829.00,NT$3766099.00,NT$3774267.00,NT$163661.00
"1472","代付款","借",NT$13819.00,NT$97699.00,NT$111418.00,NT$100.00
"1551","採用權益法之投資","借",NT$11833489.00,NT$11318180.00,NT$18126017.00,NT$5025652.00
"1616","機器設備成本","借",NT$14584756.00,NT$0.00,NT$14066756.00,NT$518000.00
"1618","累計折舊-機器設備","貸",NT$10373367.00,NT$10842485.00,NT$769826.00,NT$300708.00
"1636","模具設備成本","借",NT$8609115.00,NT$86000.00,NT$1125900.00,NT$7569215.00
"1638","累計折舊-模具設備","貸",NT$5930992.00,NT$1061400.00,NT$936108.00,NT$5805700.00
"1661","試驗設備成本","借",NT$2405002.00,NT$0.00,NT$577386.00,NT$1827616.00
"1663","累計折舊-試驗設備","貸",NT$1422264.00,NT$433039.00,NT$218922.00,NT$1208147.00
"1691","辦公設備成本","借",NT$5031955.00,NT$84227.00,NT$1341824.00,NT$3774358.00
"1693","累計折舊-辦公設備","貸",NT$3759804.00,NT$1028028.00,NT$176923.00,NT$2908699.00
